indicator_name,indicator_description,SOURCE_ORGANIZATION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,completeness_score
"Intentional homicides, male (per 100,000 male)","This indicator measures the rate of intentional homicides committed against males per 100,000 male population. It's essential for tracking crime and violence trends, informing public health and safety policies, and evaluating the effectiveness of crime prevention strategies. It's typically used by policymakers, researchers, and law enforcement agencies.",,,,1.95133897658178,2.13645132022098,1.71884992448384,1.91463238886161,2.76817995819029,3.62386790129087,2.43264342091587,2.7896617215172,2.02436206072696,3.30553487438405,,,71.42857142857143
"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","This indicator measures a country's level of voice and accountability, ranking its performance from 0 (lowest) to 100 (highest) in terms of citizens' ability to participate in the selection of governments and hold them accountable. It's crucial for good governance, economic growth, and human development, and is often used to inform policy reforms and development interventions.",,23.6966819763184,23.9436626434326,24.8826293945312,23.9436626434326,22.1674880981445,24.630542755127,23.645320892334,23.1527099609375,23.3009700775146,24.1545886993408,26.0869560241699,27.5362319946289,28.019323348999,29.9019603729248,100.0
"Travel services (% of commercial service exports), TVS","This indicator measures the percentage of commercial service exports accounted for by travel services, including goods and services consumed by travelers, such as accommodation, food, and transport, during business or personal trips lasting less than a year. It highlights a country's tourism revenue and competitiveness in the global market.","Fonds monétaire international, rapport annuel des statistiques de la balance des paiements et fichiers de données.",46.76875573248,47.2730410983598,44.8080772449566,49.1658202643568,46.7241576177064,44.386439745854,44.7833133982714,45.1674038706888,43.2048832525833,43.71400859467,28.9692476380746,25.8638638745625,42.0765113253894,41.426671981984,100.0
Commercial services exports (current US$),"This indicator measures the total value of commercial services exported by a country, excluding government services not included elsewhere. It's important as it reflects a country's competitiveness in the global services market and contributes to its GDP. It's typically used to analyze trade performance, economic growth, and development strategies.","Fonds monétaire international, rapport annuel des statistiques de la balance des paiements et fichiers de données.",14329107403.4644,15486240354.54,14946702566.7934,13935131503.0191,15803890776.626,14102370266.8042,14642362562.4787,16591999215.8405,17992531233.5455,18727683923.7695,13280256584.6112,14847448574.4946,21587073990.2265,24972216656.9817,100.0
"Exports of goods by reporting country (current US$), XGS","This indicator measures the total value of goods exported by a reporting country to the rest of the world, in current US dollars. It's essential for tracking a country's trade performance, competitiveness, and economic growth. Typically used to analyze trade patterns, identify trends, and inform policy decisions.",Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.,16511494030.0,20612707441.0,19506911855.0,21752881037.0,23599415798.0,21140204025.0,22825661253.0,24585413745.0,27642784355.0,27692162663.0,25775523942.0,,,,78.57142857142857
"Goods exports to developing countries in Middle East and North Africa (% of total goods exports), GXMDNA","This indicator measures the percentage of a country's total goods exports that go to developing countries in the Middle East and North Africa. It's important for tracking trade relationships and economic integration in the region. It's typically used to analyze trade patterns, identify opportunities, and inform policy decisions.",Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.,3.78558969203104,2.86893996187873,3.94557433140152,3.28960211653274,2.85888894358638,3.59322807434447,4.08948313765638,2.49162420186881,2.3539400143036,2.92306348135653,4.01875658601889,,,,78.57142857142857
"Merchandise exports to developing economies outside of region (% of total merchandise exports), MXD","This indicator measures the percentage of a country's total merchandise exports that go to developing economies outside its region. It's important for tracking trade patterns and diversification, and is typically used to analyze a country's integration into the global economy and its potential for growth.",Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.,21.8734699018633,24.5810824973034,24.7469659107659,24.0283458182367,22.6955617666345,24.1509353030002,21.2304500022451,22.3410082619295,21.8520302058769,20.207447981218,15.7832618656144,,,,78.57142857142857
'Ores and Metals Exports (% of Merchandise Exports)' - OME,"This indicator measures the percentage of ores and metals in a country's total merchandise exports, covering raw minerals, metallic ores, and non-ferrous metals. It's important for assessing a country's dependence on natural resources and its potential vulnerability to commodity price fluctuations. It's typically used to inform trade and development policies.",Estimations du personnel de la Banque mondiale issues de la base de données Comtrade maintenue par la Division des Statistiques des Nations Unies.,11.5598510305131,13.1676881924562,12.0817038190653,9.08869186543583,7.83879227001786,8.16155226057383,6.41215376931413,7.03658640570464,6.17363219492484,5.43234682174159,5.49442002494985,5.89803620420549,5.85006591806819,4.40788917871175,100.0
Fuel Exports (% of Merchandise Exports) - FX,"This indicator measures the percentage of a country's merchandise exports that are fuel-related, including mineral fuels. It's important for understanding a country's energy sector and trade dynamics. It's typically used to analyze a country's energy dependence, trade balances, and economic vulnerability to fuel price fluctuations.",Estimations du personnel de la Banque mondiale issues de la base de données Comtrade maintenue par la Division des Statistiques des Nations Unies.,3.31051983251718,4.34145432822333,5.76450248609948,7.21783053567622,5.06512046366423,1.93131182632741,0.851631730088442,0.915717103285065,1.16507270206512,1.5096725010458,0.515055497762877,0.690786590320233,1.00965161630831,1.21428847268287,100.0
Export Volume Index (EVI),"The Export Volume Index (EVI) measures the volume of a country's exports, adjusting for changes in prices and exchange rates. It's essential for tracking trade performance, identifying trends, and informing policy decisions. The EVI is typically used by policymakers, researchers, and businesses to analyze trade patterns, competitiveness, and economic growth.","Conférence des Nations Unies sur le Commerce et le Développement, Manuel de Statistiques et fichiers de données, Statistiques financières internationales du Fonds Monétaire international.",75.7521213617,79.1641607311,81.499975656,84.5459069703,93.39781537,100.0,104.5523948416,113.6922785587,121.9776627899,129.2428670497,118.1561192296,140.4362590505,,,85.71428571428571
